회사명,시장구분,종목코드,업종,상장일,결산월,지역
한국제12호스팩,코스닥,458610,금융 지원 서비스업,2023-08-30,12월,서울특별시
시큐레터,코스닥,418250,소프트웨어 개발 및 공급업,2023-08-24,12월,경기도
스마트레이더시스템,코스닥,424960,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2023-08-22,12월,경기도
넥스틸,유가,92790,1차 철강 제조업,2023-08-21,12월,경상북도
캔버스엔,코스닥,210120,"영화, 비디오물, 방송프로그램 제작 및 배급업",2023-08-17,12월,서울특별시
SK증권제10호스팩,코스닥,457940,금융 지원 서비스업,2023-08-11,12월,서울특별시
코츠테크놀로지,코스닥,448710,컴퓨터 및 주변장치 제조업,2023-08-10,12월,경기도
큐리옥스바이오시스템즈,코스닥,445680,의료용 기기 제조업,2023-08-10,12월,서울특별시
NICE평가정보,유가,30190,기타 정보 서비스업,2023-08-08,12월,서울특별시
파두,코스닥,440110,반도체 제조업,2023-08-07,12월,서울특별시
엠아이큐브솔루션,코스닥,373170,소프트웨어 개발 및 공급업,2023-08-04,12월,서울특별시
시지트로닉스,코스닥,429270,반도체 제조업,2023-08-03,12월,전북특별자치도
에피바이오텍,코넥스,446440,자연과학 및 공학 연구개발업,2023-07-31,12월,인천광역시
조선내화,유가,462520,"내화, 비내화 요업제품 제조업",2023-07-28,12월,전라남도
에이엘티,코스닥,172670,반도체 제조업,2023-07-27,12월,충청북도
유안타제14호스팩,코스닥,450940,금융 지원 서비스업,2023-07-27,12월,서울특별시
파로스아이바이오,코스닥,388870,자연과학 및 공학 연구개발업,2023-07-27,12월,경기도
길교이앤씨,코넥스,456700,"건축기술, 엔지니어링 및 관련 기술 서비스업",2023-07-26,12월,경상북도
